finding_id,category,severity,action_required,spatial_unit_ids,party_ids,description,status
QA-0001,boundary_conflict,medium,True,P0033;P0035,,"Spatial units P0033 and P0035 are only 0.38 m apart -- inside typical handheld GPS error, verify they don't actually overlap.",open
QA-0002,boundary_conflict,medium,True,P0035;P0036,,"Spatial units P0035 and P0036 are only 0.43 m apart -- inside typical handheld GPS error, verify they don't actually overlap.",open
QA-0003,boundary_conflict,medium,True,P0199;P0198,,"Spatial units P0199 and P0198 are only 0.49 m apart -- inside typical handheld GPS error, verify they don't actually overlap.",open
QA-0004,boundary_conflict,medium,True,P0086;P0082,,"Spatial units P0086 and P0082 are only 0.39 m apart -- inside typical handheld GPS error, verify they don't actually overlap.",open
QA-0005,boundary_conflict,medium,True,P0359;P0335,,"Spatial units P0359 and P0335 are only 0.48 m apart -- inside typical handheld GPS error, verify they don't actually overlap.",open
QA-0006,duplicate_claim,high,True,P0015,SYN-HH-0015;SYN-HH-0016,"Spatial unit P0015 has 2 competing claims (STR-0108, STR-0109) from different households -- needs adjudication.",open
QA-0007,duplicate_claim,high,True,P0017,SYN-HH-0018;SYN-HH-0019,"Spatial unit P0017 has 2 competing claims (STR-0012, STR-0013) from different households -- needs adjudication.",open
QA-0008,duplicate_claim,high,True,P0025,SYN-HH-0027;SYN-HH-0028,"Spatial unit P0025 has 2 competing claims (STR-0071, STR-0072) from different households -- needs adjudication.",open
QA-0009,duplicate_claim,high,True,P0030,SYN-HH-0033;SYN-HH-0034,"Spatial unit P0030 has 2 competing claims (STR-0078, STR-0079) from different households -- needs adjudication.",open
QA-0010,duplicate_claim,high,True,P0031,SYN-HH-0035;SYN-HH-0036,"Spatial unit P0031 has 2 competing claims (STR-0075, STR-0076) from different households -- needs adjudication.",open
QA-0011,duplicate_claim,high,True,P0047,SYN-HH-0052;SYN-HH-0053,"Spatial unit P0047 has 2 competing claims (STR-0080, STR-0081) from different households -- needs adjudication.",open
QA-0012,duplicate_claim,high,True,P0062,SYN-HH-0068;SYN-HH-0069,"Spatial unit P0062 has 2 competing claims (STR-0127, STR-0128) from different households -- needs adjudication.",open
QA-0013,duplicate_claim,high,True,P0074,SYN-HH-0081;SYN-HH-0082,"Spatial unit P0074 has 2 competing claims (STR-0148, STR-0149) from different households -- needs adjudication.",open
QA-0014,duplicate_claim,high,True,P0076,SYN-HH-0084;SYN-HH-0085,"Spatial unit P0076 has 2 competing claims (STR-0130, STR-0131) from different households -- needs adjudication.",open
QA-0015,duplicate_claim,high,True,P0079,SYN-HH-0088;SYN-HH-0089,"Spatial unit P0079 has 2 competing claims (STR-0210, STR-0211) from different households -- needs adjudication.",open
QA-0016,duplicate_claim,high,True,P0080,SYN-HH-0090;SYN-HH-0091,"Spatial unit P0080 has 2 competing claims (STR-0254, STR-0255) from different households -- needs adjudication.",open
QA-0017,duplicate_claim,high,True,P0083,SYN-HH-0094;SYN-HH-0095,"Spatial unit P0083 has 2 competing claims (STR-0231, STR-0232) from different households -- needs adjudication.",open
QA-0018,duplicate_claim,high,True,P0098,SYN-HH-0110;SYN-HH-0111,"Spatial unit P0098 has 2 competing claims (STR-0245, STR-0246) from different households -- needs adjudication.",open
QA-0019,duplicate_claim,high,True,P0099,SYN-HH-0112;SYN-HH-0113,"Spatial unit P0099 has 2 competing claims (STR-0241, STR-0242) from different households -- needs adjudication.",open
QA-0020,duplicate_claim,high,True,P0106,SYN-HH-0120;SYN-HH-0121,"Spatial unit P0106 has 2 competing claims (STR-0180, STR-0181) from different households -- needs adjudication.",open
QA-0021,duplicate_claim,high,True,P0141,SYN-HH-0156;SYN-HH-0157,"Spatial unit P0141 has 2 competing claims (STR-0025, STR-0026) from different households -- needs adjudication.",open
QA-0022,duplicate_claim,high,True,P0155,SYN-HH-0171;SYN-HH-0172,"Spatial unit P0155 has 2 competing claims (STR-0099, STR-0100) from different households -- needs adjudication.",open
QA-0023,duplicate_claim,high,True,P0163,SYN-HH-0180;SYN-HH-0181,"Spatial unit P0163 has 2 competing claims (STR-0140, STR-0141) from different households -- needs adjudication.",open
QA-0024,duplicate_claim,high,True,P0165,SYN-HH-0183;SYN-HH-0184,"Spatial unit P0165 has 2 competing claims (STR-0146, STR-0147) from different households -- needs adjudication.",open
QA-0025,duplicate_claim,high,True,P0167,SYN-HH-0186;SYN-HH-0187,"Spatial unit P0167 has 2 competing claims (STR-0119, STR-0120) from different households -- needs adjudication.",open
QA-0026,duplicate_claim,high,True,P0168,SYN-HH-0188;SYN-HH-0189,"Spatial unit P0168 has 2 competing claims (STR-0137, STR-0138) from different households -- needs adjudication.",open
QA-0027,duplicate_claim,high,True,P0169,SYN-HH-0190;SYN-HH-0191,"Spatial unit P0169 has 2 competing claims (STR-0144, STR-0145) from different households -- needs adjudication.",open
QA-0028,duplicate_claim,high,True,P0177,SYN-HH-0199;SYN-HH-0200,"Spatial unit P0177 has 2 competing claims (STR-0073, STR-0074) from different households -- needs adjudication.",open
QA-0029,duplicate_claim,high,True,P0201,SYN-HH-0224;SYN-HH-0225,"Spatial unit P0201 has 2 competing claims (STR-0227, STR-0228) from different households -- needs adjudication.",open
QA-0030,duplicate_claim,high,True,P0209,SYN-HH-0233;SYN-HH-0234,"Spatial unit P0209 has 2 competing claims (STR-0236, STR-0237) from different households -- needs adjudication.",open
QA-0031,duplicate_claim,high,True,P0213,SYN-HH-0238;SYN-HH-0239,"Spatial unit P0213 has 2 competing claims (STR-0220, STR-0221) from different households -- needs adjudication.",open
QA-0032,duplicate_claim,high,True,P0219,SYN-HH-0245;SYN-HH-0246,"Spatial unit P0219 has 2 competing claims (STR-0160, STR-0161) from different households -- needs adjudication.",open
QA-0033,duplicate_claim,high,True,P0226,SYN-HH-0253;SYN-HH-0254,"Spatial unit P0226 has 2 competing claims (STR-0202, STR-0203) from different households -- needs adjudication.",open
QA-0034,duplicate_claim,high,True,P0264,SYN-HH-0292;SYN-HH-0293,"Spatial unit P0264 has 2 competing claims (STR-0316, STR-0317) from different households -- needs adjudication.",open
